Model Name,Dataset,Criterion,Transforms,Test Dice,Test IoU,Test Specificity,Test Sensitivity,Test Accuracy
UNetDeconv,drive,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.67400062084198,0.5082963109016418,0.947909951210022,0.6935171484947205,0.9160928726196289
DilatedConvNet,drive,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.4231295883655548,0.2683350443840027,0.6972891688346863,0.8365638256072998,0.7147083282470703
UNetDeconv,drive,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.4108754098415375,0.2585545778274536,0.6313680410385132,0.925304651260376,0.6681308746337891
EncDec_dropout,drive,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3178567886352539,0.18895941972732544,0.4947091341018677,0.8568847179412842,0.5400066375732422
DilatedConvNet,drive,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.31577181816101074,0.18748755753040314,0.5186597108840942,0.8187973499298096,0.5561981201171875
EncDec_dropout,drive,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3155665993690491,0.18734286725521088,0.5220757722854614,0.8136885762214661,0.5585479736328125
DilatedConvNet,drive,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3142107129096985,0.18638788163661957,0.5137133002281189,0.8204444050788879,0.5520763397216797
UNetDilated,drive,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.31278714537620544,0.18538688123226166,0.533499002456665,0.7903786897659302,0.5656270980834961
EncDec_dropout,drive,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.31276440620422363,0.18537090718746185,0.5343285202980042,0.7892348766326904,0.5662097930908203
EncDec_base,drive,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3127497434616089,0.1853606104850769,0.5492015480995178,0.7699052691459656,0.5768051147460938
EncDecStride,drive,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3126770257949829,0.1853095293045044,0.5069106221199036,0.8245161771774292,0.5466337203979492
EncDecStride,drive,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3110266625881195,0.1841513216495514,0.5557851791381836,0.7564012408256531,0.580876350402832
EncDec_base,drive,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3110044300556183,0.18413572013378143,0.5493541955947876,0.7646211385726929,0.5762777328491211
DilatedConvNet,drive,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3107597231864929,0.18396419286727905,0.5438355207443237,0.7710109353065491,0.5722484588623047
DilatedConvNet,drive,PLLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.30974864959716797,0.18325597047805786,0.5627186894416809,0.7438350915908813,0.5853710174560547
