Model,Dataset,Criterion Description,Transforms,Test Dice,Test IoU,Test Specificity,Test Sensitivity,Test Accuracy
EncDec_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9162026882171631,0.8471473813056946,0.9317865490913391,0.9007466554641723,0.9166445732116699
UNetDilated,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.911295759677887,0.8388687252998352,0.9022814393043518,0.9161961913108826,0.9109549522399902
EncDec_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9064676642417908,0.83189297914505,0.9481322526931762,0.8671858310699463,0.9078337669372558
UNetDeconv,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9043367385864258,0.8279665231704711,0.9449778079986573,0.8732395648956299,0.9043018341064453
EncDec_base,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9020698308944702,0.8236890196800232,0.9632586240768433,0.8479591012001038,0.9024529457092285
EncDec_base,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8995227813720703,0.8211066007614136,0.9684698820114136,0.8401709794998169,0.9000105857849121
EncDecStride,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8998832941055298,0.8210591793060302,0.9435115337371827,0.8631000995635987,0.9019739151000976
UNetDilated,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8942610263824463,0.8126670002937317,0.9659144282341003,0.8369981646537781,0.8956923484802246
EncDecStride,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.891623055934906,0.8083738088607788,0.9682717323303223,0.8288875102996827,0.8932442665100098
EncDecStride,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8916990399360657,0.8082848787307739,0.9518698215484619,0.8421089887619019,0.8931765556335449
