Model,Dataset,Criterion Description,Transforms,Test Dice,Test IoU,Test Specificity,Test Sensitivity,Test Accuracy
UNetDilated,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8870925188064576,0.801682710647583,0.9748384952545166,0.8167908668518067,0.8908742904663086
UNetDilated,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8865881323814392,0.8002153515815735,0.959550142288208,0.8265462875366211,0.8894250869750977
UNetDeconv,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8862046241760254,0.7979658603668213,0.9195236563682556,0.8645023345947266,0.8878278732299805
EncDecStride,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8835524439811706,0.7958585023880005,0.9671229958534241,0.8164099454879761,0.8877052307128906
UNetDeconv,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8819414854049683,0.793351662158966,0.974450159072876,0.8117511391639709,0.8871373176574707
EncDec_base,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8804602980613708,0.791271710395813,0.9803321242332459,0.8011696457862854,0.8848944664001465
DilatedConvNet,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8769338846206665,0.7846248388290405,0.9438397884368896,0.826953136920929,0.8817731857299804
UNetDeconv,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.876924479007721,0.7843860507011413,0.8801628947257996,0.880946934223175,0.8774250030517579
UNetDeconv,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8759880900382996,0.7842983484268189,0.9701176524162293,0.8068006753921508,0.8815135002136231
EncDec_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.875006639957428,0.7834473252296448,0.9823023438453674,0.7933372020721435,0.8805599212646484
DilatedConvNet,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.874258017539978,0.780253529548645,0.9418558359146119,0.8258718013763428,0.8811895370483398
UNetDeconv,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8725698351860046,0.7787936806678772,0.9611421585083008,0.8099686861038208,0.8782703399658203
UNetDilated,ph2,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8713884592056275,0.7779266476631165,0.97187340259552,0.7975942254066467,0.8763209342956543
EncDec_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8706400871276856,0.7768670439720153,0.9703134655952453,0.7956788539886475,0.878685474395752
EncDec_base,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.863871967792511,0.7667470812797547,0.9901418328285218,0.7722035050392151,0.8671611785888672
DilatedConvNet,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8639343738555908,0.7650966167449951,0.9306751489639282,0.8205156326293945,0.8708682060241699
EncDecStride,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8591848373413086,0.7584982991218567,0.9820057272911071,0.7687277436256409,0.8699450492858887
EncDec_base,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8561148047447205,0.75531085729599,0.9862515211105347,0.763052237033844,0.8664619445800781
DilatedConvNet,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8545788407325745,0.7526986479759217,0.9608512163162232,0.784318745136261,0.8620647430419922
DilatedConvNet,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.853088891506195,0.7481838345527649,0.9341017127037048,0.7976409316062927,0.8643423080444336
UNetDilated,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8503747463226319,0.746951961517334,0.9880955457687378,0.7512050628662109,0.8580692291259766
EncDec_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.8280152916908264,0.7129146814346313,0.9891340494155884,0.717708170413971,0.8461505889892578
EncDec_batchnorm_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
EncDec_batchnorm_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.490902042388916
