Model,Dataset,Criterion Description,Transforms,Test Dice,Test IoU,Test Specificity,Test Sensitivity,Test Accuracy
EncDec_base,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9141300082206726,0.8445923447608947,0.9589335918426514,0.8774731159210205,0.9132455825805664
EncDec_dropout,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9139189004898072,0.8432323932647705,0.9286859512329102,0.8975188136100769,0.9134623527526855
UNetDilated,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9122545719146729,0.840975821018219,0.959264051914215,0.8709109902381897,0.9117875099182129
EncDec_dropout,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.910930597782135,0.8390652656555175,0.9517052412033081,0.8746417880058288,0.9118101119995117
EncDec_dropout,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9099025845527648,0.8367971897125244,0.929901945590973,0.8875678181648254,0.9110218048095703
EncDec_base,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9093987584114075,0.8363961696624755,0.9399386286735535,0.8812709331512452,0.9098990440368653
EncDec_base,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9089156270027161,0.8359753489494324,0.961110508441925,0.8633529424667359,0.9073829650878906
EncDec_base,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9081352710723877,0.8344949007034301,0.9412584781646729,0.8788612961769104,0.9090163230895996
UNetDeconv,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9082857966423035,0.8337002754211426,0.9283569097518921,0.8896768808364868,0.9081255912780761
EncDecStride,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9072249531745911,0.8332902193069458,0.9503307938575745,0.8701952815055847,0.9063096046447754
EncDec_dropout,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9065173983573913,0.8320634841918946,0.9675835013389588,0.8548645615577698,0.905601692199707
EncDecStride,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.906751298904419,0.8317681193351746,0.9429073452949523,0.874499249458313,0.9065778732299805
EncDec_base,ph2,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9060214042663575,0.8311080217361451,0.961892557144165,0.8548105716705322,0.9046473503112793
EncDec_base,ph2,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.9058145523071289,0.8307359695434571,0.9511528253555298,0.8623850107192993,0.906338119506836
