Model Name,Dataset,Criterion,Transforms,Test Dice,Test IoU,Test Specificity,Test Sensitivity,Test Accuracy
DilatedConvNet,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3165285587310791,0.18802133202552795,0.48121383786201477,0.8703811168670654,0.5298871994018555
EncDec_base,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3164195418357849,0.1879444271326065,0.5051099061965942,0.8386073708534241,0.5468206405639648
UNetDilated,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.31639963388442993,0.18793036043643951,0.5168884992599487,0.8230597972869873,0.5551815032958984
EncDec_dropout,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3163992166519165,0.18793007731437683,0.49239397048950195,0.8552605509757996,0.5377779006958008
UNetDilated,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.31625065207481384,0.1878252476453781,0.4812890291213989,0.8693745732307434,0.5298271179199219
UNetDeconv,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.31598493456840515,0.1876378357410431,0.5211580395698547,0.816174328327179,0.5580558776855469
DilatedConvNet,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3156825304031372,0.18742460012435913,0.5041550993919373,0.8375398516654968,0.5458517074584961
EncDec_dropout,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3154207766056061,0.1872400939464569,0.5052428841590881,0.8352904319763184,0.5465221405029297
DilatedConvNet,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.31493353843688965,0.18689680099487305,0.5116183161735535,0.8254235982894897,0.5508661270141602
EncDec_dropout,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3148311972618103,0.1868247091770172,0.5185801386833191,0.816006600856781,0.5557794570922852
EncDecStride,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3144446015357971,0.1865525245666504,0.5038858652114868,0.8339941501617432,0.5451726913452148
EncDecStride,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3143855929374695,0.18651098012924194,0.5106863975524902,0.8249355554580688,0.5499897003173828
EncDecStride,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.31408822536468506,0.18630169332027435,0.5166225433349609,0.8162734508514404,0.5541000366210938
EncDec_base,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3137646019458771,0.18607403337955475,0.5266112685203552,0.8022738099098206,0.5610885620117188
EncDec_base,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3136659860610962,0.1860046684741974,0.5413950085639954,0.7827383279800415,0.5715799331665039
EncDec_dropout,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3125764727592468,0.18523889780044556,0.5108695030212402,0.819071888923645,0.5494165420532227
DilatedConvNet,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.3125738203525543,0.18523703515529633,0.5240029096603394,0.8020450472831726,0.5587778091430664
DilatedConvNet,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.31233349442481995,0.1850682646036148,0.5156109929084778,0.8121787905693054,0.5527029037475586
EncDecStride,drive,BDLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.2973685562610626,0.1746523380279541,0.45242252945899963,0.8436704277992249,0.5013561248779297
EncDecStride,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.2862802743911743,0.1670519858598709,0.9345563054084778,0.24353010952472687,0.8481292724609375
EncDec_dropout,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.28547027707099915,0.16650062799453735,0.9416369795799255,0.2344791293144226,0.8531923294067383
EncDec_dropout,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.21195726096630096,0.11854150146245956,0.944096028804779,0.16490018367767334,0.8466415405273438
UNetDilated,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.2088160365819931,0.11657989770174026,0.9597582221031189,0.14939838647842407,0.8584060668945312
EncDecStride,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.19480925798416138,0.10791616141796112,0.9319207072257996,0.15931099653244019,0.8352899551391602
UNetDilated,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.1908780038356781,0.10550864040851593,0.9616003632545471,0.1338508278131485,0.8580732345581055
EncDec_base,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.18995802104473114,0.10494675487279892,0.9612733125686646,0.1333780735731125,0.8577280044555664
EncDec_base,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.18601612746715546,0.10254563391208649,0.9598574042320251,0.13134217262268066,0.8562345504760742
UNetDilated,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.16320712864398956,0.08885440230369568,0.9624363780021667,0.1122031956911087,0.8560972213745117
EncDecStride,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.07992462813854218,0.04162577539682388,0.9874584674835205,0.045277781784534454,0.8696193695068359
UNetDeconv,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.07003405690193176,0.03628771752119064,0.9996392130851746,0.03637930378317833,0.8791637420654297
UNetDilated,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.05841156467795372,0.03008442185819149,0.9947265982627869,0.03119424171745777,0.8742170333862305
UNetDilated,drive,BFLWithLogits,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0437035970389843,0.022339966148138046,0.9964771270751953,0.022890519350767136,0.8747100830078125
EncDec_dropout,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.023680509999394417,0.011982127092778683,0.995852530002594,0.012329770252108574,0.8728427886962891
EncDecStride,drive,BCEWithLogitsLoss with pos_weight,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0006245573167689145,0.00031237618532031775,0.9998844861984253,0.0003126286610495299,0.8748674392700195
EncDec_batchnorm_dropout,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_batchnorm_dropout,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_batchnorm_dropout,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_batchnorm_dropout,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_batchnorm_dropout,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_base,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_base,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_base,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_base,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_base,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDecStride,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDecStride,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDecStride,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDecStride,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_dropout,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_dropout,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_dropout,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
EncDec_dropout,drive,BCEWithLogitsLoss,"JointRandomTransforms(horizontal_p=0.5, vertical_p=0.5, rotation_degree=90, perspective_p=0, size=512)",0.0,0.0,1.0,0.0,0.8749294281005859
